┌─────────────────────────┬─────────────────────────┬─────────────────────────┬──────────────────────────┬─────────────────────────┐
│Time                     │JobId                    │Node List                │ CPU                      │ Partition               │
│2022-06-22T15:37:42.302  │44759                    │cpu01                    │ 22                       │ cpu-opteron             │
│2022-06-22T18:06:15.985  │44753                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T18:38:47.826  │44761                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:25:53.057  │44777                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:26:29.112  │44778                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:27:00.555  │44779                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:27:33.109  │44780                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-22T23:28:03.584  │44773                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T02:05:20.803  │44787                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T07:38:34.102  │44792                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T07:47:14.038  │44793                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T08:03:54.931  │44794                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T10:33:52.222  │44814                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T11:43:54.974  │44820                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T12:38:31.806  │44823                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-23T14:47:05.379  │44846                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T16:03:55.921  │44849                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-23T21:23:01.334  │44878                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T21:28:28.934  │44881                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-23T22:14:40.081  │44883                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T22:16:08.213  │44884                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T22:19:10.596  │44885                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T22:22:15.869  │44886                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:51:15.767  │44895                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:52:07.840  │44896                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:53:12.049  │44897                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-23T23:59:54.718  │44899                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-24T09:11:00.211  │44915                    │cpu01                    │ 31                       │ cpu-opteron             │
│2022-06-24T09:42:42.938  │44931                    │cpu01                    │ 30                       │ cpu-opteron             │
│2022-06-24T09:48:19.519  │44932                    │cpu01                    │ 30                       │ cpu-opteron             │
│2022-06-24T10:25:27.768  │44940                    │cpu01                    │ 30                       │ cpu-opteron             │
│2022-06-24T10:36:50.024  │44941                    │cpu01                    │ 30                       │ cpu-opteron             │
│2022-06-24T10:45:52.042  │44946                    │cpu01                    │ 30                       │ cpu-opteron             │
│2022-06-24T11:51:03.559  │44960                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-24T12:16:34.291  │44980                    │cpu01                    │ 32                       │ cpu-opteron             │
│2022-06-24T12:25:07.222  │44985                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-24T12:27:03.389  │44986                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-24T16:49:34.207  │45006                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-24T16:50:07.237  │45007                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-24T21:54:09.587  │45017                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-25T00:38:49.212  │45025                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-25T00:40:39.358  │45026                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-25T01:05:45.739  │45028                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-25T16:47:10.192  │45055                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-25T16:59:47.629  │45060                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-25T18:25:53.937  │45071                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-25T18:29:16.318  │45073                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-25T18:30:14.398  │45074                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-25T21:31:43.538  │45091                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-25T21:34:39.930  │45092                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-25T21:35:47.027  │45093                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-25T21:37:21.159  │45094                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-25T22:09:08.461  │45098                    │cpu01                    │ 2                        │ cpu-opteron             │
│2022-06-26T11:02:36.572  │45106                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T11:06:34.933  │45107                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T11:10:02.700  │45108                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T12:41:05.321  │45109                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T14:14:35.707  │45111                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T14:16:31.852  │45112                    │cpu01                    │ 4                        │ cpu-opteron             │
│2022-06-26T14:19:10.156  │45113                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T16:03:25.712  │45117                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T17:48:36.823  │45131                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T22:57:17.792  │45140                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-26T23:09:52.105  │45144                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T00:50:31.404  │45146                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T10:16:58.432  │45154                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T11:20:34.498  │45158                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-27T11:46:10.536  │45162                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-27T11:54:28.556  │45163                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-27T12:01:47.365  │45164                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-27T13:42:52.033  │45169                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T15:51:21.997  │45181                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T16:23:52.552  │45185                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T16:24:32.587  │45186                    │cpu01                    │ 16                       │ cpu-opteron             │
│2022-06-27T16:27:19.833  │45187                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-27T16:30:34.180  │45188                    │cpu01                    │ 1                        │ cpu-opteron             │
│2022-06-27T16:33:10.505  │45189                    │cpu01                    │ 16                       │ cpu-opteron             │
